Model,Accuracy,Precision (Class 1),Recall (Class 1),F1-score (Class 1),ROC-AUC,Avg Precision (PR AUC)
Logistic Regression,0.7339449541284404,0.7857142857142857,0.7213114754098361,0.7521367521367521,0.791325136612022,0.8002040591241322
SVM,0.7155963302752294,0.7678571428571429,0.7049180327868853,0.7350427350427351,0.791325136612022,0.7886836864538899
KNN,0.8715596330275229,0.9433962264150944,0.819672131147541,0.8771929824561403,0.791325136612022,0.9369747266241274
Random Forest,0.981651376146789,1.0,0.9672131147540983,0.9833333333333333,0.791325136612022,0.9951914305819803
Gradient Boosting,0.9174311926605505,1.0,0.8524590163934426,0.9203539823008849,0.791325136612022,0.9815747772098947
VotingClassifier,0.9541284403669725,0.9827586206896551,0.9344262295081968,0.957983193277311,0.791325136612022,0.9884108642749345
